rank,uid,username,type,accompany,medal_name,medal_level
1,368890986,青柠绝配鱼香肉丝,提督,18,供血包,34
2,13009944,DarlingE,提督,21,供血包,31
3,5729200,畏光゛,舰长,1301,供血包,51
4,3493294526958393,萝宝宝の月月,舰长,824,供血包,46
5,11965818,好哥们改,舰长,704,供血包,43
6,249594967,久爱锦狸Kaorou,舰长,1274,供血包,40
7,19349978,鸿梧S,舰长,766,供血包,40
8,34157994,爱学习的萌新白面包,舰长,860,供血包,39
9,367346953,洛天启I黑星,舰长,1343,供血包,39
10,65141013,落鹿星,舰长,766,供血包,39
11,519274401,CL_LuckyE,舰长,722,供血包,38
12,677668473,萝哥の现亦,舰长,764,供血包,37
13,36132907,猫鳄霸,舰长,787,供血包,37
14,424384495,傲罗の假期,舰长,761,供血包,36
15,79963241,cube_miku,舰长,207,供血包,36
16,452182553,一条咸化鲨鱼,舰长,868,供血包,36
17,11933095,靑鋆子,舰长,674,供血包,36
18,16174561,凯哥的小菊,舰长,676,供血包,35
19,484156,欧卡尼亚,舰长,1318,供血包,35
20,456839656,凌冬寒九,舰长,975,供血包,35
21,437490940,养马糕手-,舰长,787,供血包,35
22,509846987,枫浅沐熙,舰长,826,供血包,35
23,573508245,鸢桦aky,舰长,510,供血包,34
24,60461156,-我-永远喜欢爱莉希雅,舰长,421,供血包,34
25,189598054,i珂i,舰长,816,供血包,34
26,264489711,北极星夜,舰长,669,供血包,34
27,1695619600,阳气四射,舰长,676,供血包,33
28,1121669110,微の影,舰长,560,供血包,33
29,106797737,yameito,舰长,1056,供血包,33
30,3546393505433751,爱情是糖捏,舰长,787,供血包,33
31,123729248,天麟夜宇,舰长,406,供血包,33
32,23235335,韩沐渚,舰长,495,供血包,33
33,591355861,小小空洞骑士,舰长,743,供血包,32
34,402132384,辰亦辰时,舰长,436,供血包,32
35,4738109,绯樱_-,舰长,682,供血包,31
36,177736688,闻艺wy,舰长,436,供血包,31
37,17074908,提莫Baober,舰长,16,供血包,31
38,19006229,鄙人姓馋名猫,舰长,459,供血包,31
39,3546669796821037,何处梦清秋,舰长,500,供血包,30
40,1769122,折戟尘砂,舰长,376,供血包,30
41,30683849,风凌碧落,舰长,409,供血包,30
42,32957306,monky_kon,舰长,254,供血包,30
43,9189063,缺德金毛,舰长,16,供血包,30
44,1500544767,我云夜能有什么坏心思,舰长,226,供血包,30
45,21798828,是大野猫,舰长,285,供血包,29
46,1356196765,徐泽魈杨,舰长,195,供血包,29
47,44749665,吾愿ya,舰长,16,供血包,29
48,1326809254,序三数秋,舰长,184,供血包,28
49,1169667370,北涯先生,舰长,166,供血包,28
50,3493128373799849,想去em忘词了,舰长,129,供血包,28
51,290696925,火力大喵出门就倒,舰长,23,供血包,28
52,1554871865,终焉之后的梦醒,舰长,135,供血包,27
53,8558920,一天九杯奶茶的Master,舰长,106,供血包,27
54,494671967,故寓诸无竟,舰长,91,供血包,27
55,1312733059,酷百分之20,舰长,75,供血包,26
