rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1447,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,970,供血包,46
3,11965818,转生成为超好用电击棒,舰长,850,供血包,43
4,9189063,缺德金毛,舰长,155,供血包,40
5,519274401,CL_LuckyE,舰长,868,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1006,供血包,39
7,367346953,洛天启I黑星,舰长,1489,供血包,39
8,79963241,cube_miku,舰长,334,供血包,39
9,677668473,萝哥の现亦,舰长,910,供血包,37
10,424384495,傲罗の假期,舰长,907,供血包,37
11,36132907,猫鳄霸,舰长,933,供血包,37
12,60461156,-我-永远喜欢爱莉希雅,舰长,563,供血包,36
13,11933095,靑鋆子,舰长,820,供血包,36
14,484156,欧卡尼亚,舰长,1464,供血包,36
15,437490940,养马糕手-,舰长,933,供血包,35
16,573508245,鸢桦aky,舰长,656,供血包,35
17,189598054,i珂i,舰长,962,供血包,35
18,1512279910,我是路痴qwq,舰长,91,供血包,35
19,264489711,北极星夜,舰长,815,供血包,35
20,509846987,枫浅沐熙,舰长,972,供血包,35
21,32957306,monky_kon,舰长,400,供血包,34
22,1695619600,阳气四射,舰长,781,供血包,34
23,650902976,星辰落缨,舰长,94,供血包,34
24,1789334557,浅川舍人,舰长,162,供血包,34
25,106797737,yameito,舰长,1202,供血包,34
26,9174916,皮神的萌豚百合工坊,舰长,64,供血包,34
27,3546393505433751,爱情是糖捏,舰长,933,供血包,33
28,591355861,小小空洞骑士,舰长,889,供血包,33
29,4738109,绯樱_-,舰长,828,供血包,32
30,15201741,炼金师的炼习作,舰长,174,供血包,32
31,30683849,风凌碧落,舰长,555,供血包,32
32,3546669796821037,何处梦清秋,舰长,646,供血包,31
33,137309469,小N我的超人,舰长,210,供血包,31
34,1500544767,你云夜能有什么坏心思,舰长,265,供血包,30
35,11398089,一里Bocchi酱,舰长,278,供血包,30
36,3461576619199229,绪山洛,舰长,93,供血包,30
37,1356196765,徐泽魈杨,舰长,244,供血包,30
38,528746345,k4ksaw,舰长,140,供血包,30
39,347897700,水晶冥,舰长,98,供血包,29
40,477256009,嘟肥嘟嘟,舰长,37,供血包,29
41,3546980712188599,太阳又坠机了,舰长,95,供血包,28
42,1440752106,春风共作狮子鸣-,舰长,161,供血包,28
43,39820524,牵丝喵neco,舰长,87,供血包,27
44,666960177,三千红丝缘何处,舰长,38,供血包,26
45,1777382674,泠爱云,舰长,38,供血包,25
46,3461582558333746,忘年忽念,舰长,91,供血包,25
47,66689820,嵢漓,舰长,33,供血包,24
48,487944808,赛博猴御医,舰长,41,供血包,24
49,692424477,0零遴,舰长,43,供血包,24
50,176866047,雪夜的皮皮蛋,舰长,17,供血包,24
51,1942327076,晦明如暗,舰长,37,供血包,24
52,3546581875821346,蕗茜菲尔,舰长,38,供血包,23
53,6838639,一见钟情528,舰长,29,供血包,22
54,527492541,-悠悠茶-,舰长,7,供血包,22
55,327105404,木呆的猫小白,舰长,11,供血包,21
56,38161805,倒头就睡的萧同学,舰长,29,供血包,21
57,3546759229868162,语栀-_,舰长,29,供血包,21
