rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,提督,1482,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1005,供血包,46
3,11965818,转生成为超好用电击棒,舰长,885,供血包,43
4,9189063,缺德金毛,舰长,190,供血包,41
5,519274401,CL_LuckyE,舰长,903,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1041,供血包,39
7,367346953,洛天启I黑星,舰长,1524,供血包,39
8,79963241,cube_miku,舰长,369,供血包,39
9,424384495,傲罗の假期,舰长,942,供血包,37
10,677668473,萝哥の现亦,舰长,945,供血包,37
11,36132907,猫鳄霸,舰长,968,供血包,37
12,452182553,一条咸化鲨鱼,舰长,1006,供血包,36
13,60461156,-我-永远喜欢爱莉希雅,舰长,598,供血包,36
14,484156,欧卡尼亚,舰长,1499,供血包,36
15,11933095,靑鋆子,舰长,855,供血包,36
16,456839656,凌冬寒九,舰长,1103,供血包,36
17,437490940,养马糕手-,舰长,968,供血包,35
18,573508245,鸢桦aky,舰长,0,供血包,35
19,189598054,i珂i,舰长,997,供血包,35
20,368890986,青柠绝配鱼香肉丝,舰长,0,供血包,35
21,264489711,北极星夜,舰长,850,供血包,35
22,509846987,枫浅沐熙,舰长,0,供血包,35
23,32957306,monky_kon,舰长,435,供血包,34
24,1695619600,阳气四射,舰长,803,供血包,34
25,1789334557,浅川舍人,舰长,197,供血包,34
26,106797737,yameito,舰长,1237,供血包,34
27,650902976,星辰落缨,舰长,129,供血包,34
28,9174916,皮神在灵山道场,舰长,99,供血包,34
29,3546393505433751,爱情是糖捏,舰长,968,供血包,34
30,123729248,天麟夜宇,舰长,517,供血包,34
31,363857729,玉咩咩碳,舰长,653,供血包,33
32,591355861,小小空洞骑士,舰长,924,供血包,33
33,4738109,绯樱_-,舰长,863,供血包,33
34,15201741,炼金师的炼习作,舰长,209,供血包,32
35,3546669796821037,何处梦清秋,舰长,681,供血包,32
36,383036333,潇潇无雨声,舰长,473,供血包,31
37,11398089,一里Bocchi酱,舰长,313,供血包,31
38,1610659549,皮皮小八,舰长,132,供血包,31
39,1356196765,徐泽魈杨,舰长,279,供血包,30
40,494671967,故寓诸无竟,舰长,203,供血包,30
41,347897700,水晶冥,舰长,133,供血包,30
42,528746345,k4ksaw,舰长,175,供血包,30
43,21798828,是大野猫,舰长,323,供血包,30
44,10246461,最爱西瓜天使,舰长,353,供血包,30
45,343836607,二零237,舰长,233,供血包,30
46,173903164,番薯是不会去学习的,舰长,173,供血包,29
47,13342984,真装路过,舰长,32,供血包,29
48,3546980712188599,太阳又坠机了,舰长,130,供血包,29
49,234314275,半月秋风半月寒,舰长,154,供血包,29
50,33056284,枯红山海棠,舰长,82,供血包,28
51,1554871865,终焉之后即为梦醒,舰长,173,供血包,28
52,385307665,全世界唯一孤寡,舰长,83,供血包,27
53,1777382674,泠爱云,舰长,73,供血包,27
54,233862617,咋也不知道叫啥名,舰长,53,供血包,27
55,479213028,粉雾彼岸,舰长,53,供血包,27
56,511106780,璃悠冰馨雅,舰长,14,供血包,26
57,66689820,嵢漓------------,舰长,68,供血包,25
58,1942327076,晦明如暗,舰长,72,供血包,25
59,34594434,坠入大海的鱼,舰长,53,供血包,25
60,3546581875821346,蕗茜菲尔,舰长,73,供血包,24
61,620493,面包の炼奶,舰长,23,供血包,24
62,327105404,木呆的猫小白,舰长,46,供血包,24
63,3493142441495255,风落江枫,舰长,23,供血包,23
64,319250358,愿其不悔,舰长,23,供血包,22
65,284586935,繁花予辰砂,舰长,9,供血包,22
66,600315864,闻人不疑,舰长,23,供血包,22
67,23661814,一江秋渡,舰长,7,供血包,22
68,67956160,该龙兄咯,舰长,13,供血包,22
69,124018,八神奈叶大和,舰长,13,供血包,22
70,89653049,紫月-魅影,舰长,7,供血包,21
71,9971359,没有色彩的凡,舰长,4,供血包,21
