rank,uid,username,type,accompany,medal_name,medal_level
1,9174916,窈窕淑V灬皮神好逑,提督,10,供血包,32
2,5729200,畏光゛,舰长,1393,供血包,51
3,3493294526958393,萝宝宝の月月,舰长,916,供血包,46
4,11965818,膏青木马,舰长,796,供血包,43
5,9189063,缺德金毛,舰长,104,供血包,40
6,34157994,爱学习的萌新白面包,舰长,952,供血包,39
7,367346953,洛天启I黑星,舰长,1435,供血包,39
8,519274401,CL_LuckyE,舰长,814,供血包,39
9,79963241,cube_miku,舰长,293,供血包,39
10,677668473,萝哥の现亦,舰长,856,供血包,37
11,424384495,傲罗の假期,舰长,853,供血包,37
12,36132907,猫鳄霸,舰长,879,供血包,37
13,452182553,一条咸化鲨鱼,舰长,960,供血包,36
14,35505931,无是吾,舰长,1093,供血包,36
15,11933095,靑鋆子,舰长,766,供血包,36
16,484156,欧卡尼亚,舰长,1410,供血包,35
17,437490940,养马糕手-,舰长,879,供血包,35
18,573508245,鸢桦aky,舰长,602,供血包,35
19,189598054,i珂i,舰长,908,供血包,35
20,509846987,枫浅沐熙,舰长,918,供血包,35
21,264489711,北极星夜,舰长,761,供血包,35
22,1512279910,我靠我迷路了,舰长,37,供血包,34
23,1695619600,阳气四射,舰长,727,供血包,34
24,13313146,御坂スティーブ,舰长,540,供血包,34
25,32957306,monky_kon,舰长,346,供血包,34
26,650902976,星辰落缨,舰长,40,供血包,34
27,123729248,天麟夜宇,舰长,498,供血包,33
28,106797737,yameito,舰长,1148,供血包,33
29,3546393505433751,爱情是糖捏,舰长,879,供血包,33
30,591355861,小小空洞骑士,舰长,835,供血包,32
31,4738109,绯樱_-,舰长,774,供血包,32
32,363297560,乙坂奈绪,舰长,554,供血包,32
33,501191565,猛1白墨大王,舰长,223,供血包,31
34,30683849,风凌碧落,舰长,501,供血包,31
35,15201741,炼金师的炼习作,舰长,120,供血包,31
36,3546669796821037,何处梦清秋,舰长,592,供血包,31
37,137309469,小N我的超人,舰长,158,供血包,31
38,352634648,登deng等瞪,舰长,18,供血包,31
39,2014470994,太阳将要毁伤-,舰长,81,供血包,30
40,1610659549,皮皮小八,舰长,73,供血包,30
41,528746345,k4ksaw,舰长,86,供血包,30
42,1789334557,浅川舍人,舰长,108,供血包,30
43,11398089,一里Bocchi酱,舰长,224,供血包,30
44,3493128373799849,想去em忘词了,舰长,154,供血包,30
45,52686530,奶茶配动漫,舰长,107,供血包,30
46,494671967,故寓诸无竟,舰长,143,供血包,30
47,277780459,星兰影,舰长,239,供血包,29
48,33380498,SAT竹唤夏,舰长,117,供血包,29
49,3546678636317194,今日精神状态良好I,舰长,47,供血包,28
50,307465570,z花与时光同眠,舰长,74,供血包,28
51,475023191,懒_癌_晚_期,舰长,107,供血包,28
52,173903164,玄米抹茶-,舰长,104,供血包,28
53,347897700,水晶冥,舰长,44,供血包,28
54,1299403436,QyTitan,舰长,125,供血包,28
55,3706948945971456,白梓琳白梓琳,舰长,17,供血包,27
56,1440752106,春风共作狮子鸣-,舰长,107,供血包,27
57,3546980712188599,太阳又坠机了,舰长,43,供血包,27
58,3546645459372400,money_for,舰长,107,供血包,27
59,194161746,苍小郁TT,舰长,39,供血包,27
60,3546827271965048,凡宫_,舰长,121,供血包,26
61,240421,ya溪溪桃花雨,舰长,6,供血包,26
62,1562917248,小范悠悠然,舰长,31,供血包,26
63,233862617,咋也不知道叫啥名,舰长,4,供血包,26
64,669204946,墨水味橙汁,舰长,16,供血包,25
65,33056284,枯红山海棠,舰长,10,供血包,25
66,3546597715610130,原野三三w,舰长,5,供血包,25
67,3546958373325545,小小安鬼,舰长,13,供血包,24
68,2104665450,瓦尔让,舰长,27,供血包,24
69,3461582558333746,忘年忽念,舰长,37,供血包,24
70,278520474,凌沫雨幻,舰长,14,供血包,24
71,131738598,松鼠不吃海鲜,舰长,17,供血包,24
72,3546617447712796,很好吃的薯薯,舰长,31,供血包,22
73,47605403,飛颺-,舰长,29,供血包,22
74,630176165,莫与非离,舰长,31,供血包,22
75,1565915115,这是颗千年冰箱,舰长,31,供血包,22
