rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1347,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,870,供血包,46
3,11965818,膏青五马,舰长,750,供血包,43
4,249594967,久爱锦狸Kaorou,舰长,1320,供血包,40
5,34157994,爱学习的萌新白面包,舰长,906,供血包,39
6,367346953,洛天启I黑星,舰长,1389,供血包,39
7,519274401,CL_LuckyE,舰长,768,供血包,38
8,79963241,cube_miku,舰长,253,供血包,38
9,677668473,萝哥の现亦,舰长,810,供血包,37
10,36132907,猫鳄霸,舰长,833,供血包,37
11,424384495,面包の假期,舰长,807,供血包,37
12,452182553,一条咸化鲨鱼,舰长,914,供血包,36
13,11933095,靑鋆子,舰长,720,供血包,36
14,484156,欧卡尼亚,舰长,1364,供血包,35
15,456839656,凌冬寒九,舰长,1021,供血包,35
16,9189063,缺德金毛,舰长,59,供血包,35
17,437490940,养马糕手-,舰长,833,供血包,35
18,573508245,鸢桦aky,舰长,556,供血包,35
19,368890986,青柠绝配鱼香肉丝,舰长,64,供血包,35
20,509846987,枫浅沐熙,舰长,872,供血包,35
21,60461156,-我-永远喜欢爱莉希雅,舰长,467,供血包,35
22,189598054,i珂i,舰长,862,供血包,34
23,264489711,北极星夜,舰长,715,供血包,34
24,13313146,御坂スティーブ,舰长,494,供血包,34
25,123729248,天麟夜宇,舰长,452,供血包,33
26,106797737,yameito,舰长,1102,供血包,33
27,3546393505433751,爱情是糖捏,舰长,833,供血包,33
28,591355861,小小空洞骑士,舰长,789,供血包,32
29,4738109,绯樱_-,舰长,728,供血包,32
30,32957306,monky_kon,舰长,300,供血包,32
31,30683849,风凌碧落,舰长,455,供血包,31
32,3546669796821037,何处梦清秋,舰长,546,供血包,30
33,2014470994,太阳将要毁伤-,舰长,35,供血包,29
34,528746345,k4ksaw,舰长,40,供血包,29
35,52686530,奶茶配动漫,舰长,61,供血包,29
36,1326809254,序三数秋,舰长,230,供血包,28
37,494671967,故寓诸无竟,舰长,103,供血包,28
38,15201741,炼金师的炼习作,舰长,74,供血包,28
39,475023191,懒_癌_晚_期,舰长,61,供血包,28
40,33380498,SAT竹唤夏,舰长,71,供血包,27
41,693398201,傲娇控蒸鹅心,舰长,31,供血包,27
42,138620787,是z先生呀,舰长,73,供血包,27
43,1610659549,皮皮小八,舰长,27,供血包,27
44,3546695979764083,里世界观测者,舰长,53,供血包,26
45,307465570,z花与时光同眠,舰长,31,供血包,26
46,255217452,我不是离散,舰长,61,供血包,26
47,16906383,美九真爱,舰长,100,供血包,26
48,1789334557,浅川舍人,舰长,62,供血包,26
49,59223438,青呱哇哇叫,舰长,76,供血包,26
50,3546827271965048,凡宫_,舰长,75,供血包,25
51,3461576619199229,绪山洛,舰长,19,供血包,25
52,12364173,十六夜H咲夜,舰长,62,供血包,25
53,400018946,舯柏,舰长,61,供血包,25
54,1440752106,春风共作狮子鸣-,舰长,61,供血包,25
55,1980623710,土豆零号机,舰长,16,供血包,25
56,325674682,我有一米六16,舰长,75,供血包,25
57,173903164,-久世_,舰长,61,供血包,25
58,40771358,落叶花开Oooi,舰长,25,供血包,24
59,3546645459372400,money_for,舰长,61,供血包,24
60,475781180,A阿哈Ha,舰长,61,供血包,24
61,2057587572,家妻三玖卡哇伊,舰长,2,供血包,23
62,3546836746898023,Minecraft苏联麦块君,舰长,9,供血包,21
63,353136823,云收夏意,舰长,11,供血包,21
64,1261100943,_一次就好_,舰长,17,供血包,21
65,409778757,云愈深,舰长,20,供血包,21
66,266802146,袅袅林中客,舰长,25,供血包,21
67,400991228,好多号的,舰长,11,供血包,21
